acid_id,acid_name,formula,concentration_pct,temperature_c,density_kg_l
nitric,硝酸,HNO3,44,80,1.2067
nitric,硝酸,HNO3,44,100,1.1831
nitric,硝酸,HNO3,45,0,1.299
nitric,硝酸,HNO3,45,5,1.2947
nitric,硝酸,HNO3,45,10,1.289
nitric,硝酸,HNO3,45,15,1.2836
nitric,硝酸,HNO3,45,20,1.2783
nitric,硝酸,HNO3,45,25,1.2732
nitric,硝酸,HNO3,45,30,1.268
nitric,硝酸,HNO3,45,40,1.257
nitric,硝酸,HNO3,45,50,1.2461
nitric,硝酸,HNO3,45,60,1.235
nitric,硝酸,HNO3,45,80,1.2119
nitric,硝酸,HNO3,45,100,1.1879
nitric,硝酸,HNO3,46,0,1.3058
nitric,硝酸,HNO3,46,5,1.3014
nitric,硝酸,HNO3,46,10,1.2955
nitric,硝酸,HNO3,46,15,1.2901
nitric,硝酸,HNO3,46,20,1.2847
nitric,硝酸,HNO3,46,25,1.2795
nitric,硝酸,HNO3,46,30,1.2742
nitric,硝酸,HNO3,46,40,1.263
nitric,硝酸,HNO3,46,50,1.2519
nitric,硝酸,HNO3,46,60,1.2406
nitric,硝酸,HNO3,46,80,1.2171
nitric,硝酸,HNO3,46,100,1.1927
nitric,硝酸,HNO3,47,0,1.3126
nitric,硝酸,HNO3,47,5,1.308
nitric,硝酸,HNO3,47,10,1.3021
nitric,硝酸,HNO3,47,15,1.2966
nitric,硝酸,HNO3,47,20,1.2911
nitric,硝酸,HNO3,47,25,1.2858
nitric,硝酸,HNO3,47,30,1.2804
nitric,硝酸,HNO3,47,40,1.269
nitric,硝酸,HNO3,47,50,1.2577
nitric,硝酸,HNO3,47,60,1.2462
nitric,硝酸,HNO3,47,80,1.2223
nitric,硝酸,HNO3,47,100,1.1976
nitric,硝酸,HNO3,48,0,1.3194
nitric,硝酸,HNO3,48,5,1.3147
nitric,硝酸,HNO3,48,10,1.3087
nitric,硝酸,HNO3,48,15,1.3031
nitric,硝酸,HNO3,48,20,1.2975
nitric,硝酸,HNO3,48,25,1.2921
nitric,硝酸,HNO3,48,30,1.2867
nitric,硝酸,HNO3,48,40,1.275
nitric,硝酸,HNO3,48,50,1.2635
nitric,硝酸,HNO3,48,60,1.2518
nitric,硝酸,HNO3,48,80,1.2275
nitric,硝酸,HNO3,48,100,1.2024
nitric,硝酸,HNO3,49,0,1.3263
